df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	9.45969690339443e-5	1e-05	0.0184344260642380	0.0507665465057371	0.0777723043908238	0.136436918128870	5
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	9.64770017681896e-5	1e-05	0.0185138042752099	0.0565858764870725	0.0724796358718666	0.136872410530026	6
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	9.83780299352142e-5	1e-05	0.0186215098137357	0.0620287759792968	0.0676786818135267	0.137051556807155	7
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000100293282223657	1e-05	0.0187525648635172	0.0671207325579127	0.0633226974052667	0.137013742507298	8
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000102216315915168	1e-05	0.0189026162715777	0.0718854040371242	0.0593694555084154	0.136793526037395	9
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000104141018260824	1e-05	0.0190678655768778	0.0763447589173392	0.0557808050219910	0.136421178798686	10
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000106061610625670	1e-05	0.0192450064799929	0.0805192053034884	0.0525222727571464	0.135923167597159	11
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000107972654192703	1e-05	0.0194311689834900	0.0844277092982859	0.0495627045116884	0.135322585342231	12
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000109869056213665	1e-05	0.0196238695112264	0.0880879037829412	0.0468739414642410	0.134639535429096	13
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000111746075971072	1e-05	0.0198209663854362	0.0915161884148643	0.0444305283931098	0.133891474646180	14
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000113599329777658	1e-05	0.0200206201039566	0.0947278215967407	0.0422094505720064	0.133093518951404	15
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000115424794488015	1e-05	0.0202212579170047	0.0977370051032476	0.0401898965073367	0.132258716013939	16
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000117218809133486	1e-05	0.0204215422541912	0.100556961989949	0.0383530439631966	0.131398288016576	17
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000118978074415472	1e-05	0.0206203425985354	0.103200008352947	0.0366818669736425	0.130521847853256	18
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000120699649904070	1e-05	0.0208167104456437	0.105677619457102	0.0351609617700186	0.129637591532459	19
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000122380948887861	1e-05	0.0210098570234144	0.108000490704624	0.0337763897566316	0.128752469306364	20
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000124019730906389	1e-05	0.0211991334810469	0.110178593874014	0.0325155358531305	0.127872337784646	21
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000125614092069210	1e-05	0.0213840132861536	0.112221229021477	0.0313669806886164	0.127002095057375	22
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000127162453324324	1e-05	0.0215640765957373	0.114137072402457	0.0303203852826016	0.126145800641104	23
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000128663546884658	1e-05	0.0217389963910131	0.115934220739692	0.0293663869831152	0.125306781873378	24
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000130116401054652	1e-05	0.0219085261878070	0.117620232135796	0.0284965055539941	0.124487728211452	25
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000131520323720740	1e-05	0.0220724891537883	0.119202163902534	0.0277030584130500	0.123690774738887	26
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000132874884780660	1e-05	0.0222307684813328	0.120686607555513	0.0269790841215582	0.122917576047273	27
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000134179897788388	1e-05	0.0223832988805539	0.122079721201637	0.0263182733144666	0.122169371537910	28
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000135435401085302	1e-05	0.0225300590711719	0.123387259527289	0.0257149063408450	0.121447043078461	29
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	FECUNDITY	0.000136641638675444	1e-05	0.0226710651645745	0.124614601577506	0.0251637969562628	0.120751165851128	30
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000244295137089588	1e-05	0.0185262569074100	0.0231421572389088	0.104982122475323	0.131138891020483	1
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000259803536340702	1e-05	0.0184271130251327	0.0307643384296458	0.0971464794901766	0.133112894405287	2
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000276343278329557	1e-05	0.0183841650821126	0.0378865636238089	0.0900453455778093	0.134611517839110	3
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000293984248817635	1e-05	0.0183890559306804	0.0445433156165096	0.0836084397796303	0.135700262359611	4
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000312801130576907	1e-05	0.0184344260642380	0.0507665465057371	0.0777723043908238	0.136436918128870	5
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000332873733153140	1e-05	0.0185138042752099	0.0565858764870725	0.0724796358718666	0.136872410530026	6
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000354287345447122	1e-05	0.0186215098137357	0.0620287759792968	0.0676786818135267	0.137051556807155	7
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000377133112680588	1e-05	0.0187525648635172	0.0671207325579127	0.0633226974052667	0.137013742507298	8
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000401508439423126	1e-05	0.0189026162715777	0.0718854040371242	0.0593694555084154	0.136793526037395	9
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000427517420473212	1e-05	0.0190678655768778	0.0763447589173392	0.0557808050219910	0.136421178798686	10
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000455271301511290	1e-05	0.0192450064799929	0.0805192053034884	0.0525222727571464	0.135923167597159	11
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000484888971576010	1e-05	0.0194311689834900	0.0844277092982859	0.0495627045116884	0.135322585342231	12
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000516497489557111	1e-05	0.0196238695112264	0.0880879037829412	0.0468739414642410	0.134639535429096	13
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000550232647050404	1e-05	0.0198209663854362	0.0915161884148643	0.0444305283931098	0.133891474646180	14
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000586239570082890	1e-05	0.0200206201039566	0.0947278215967407	0.0422094505720064	0.133093518951404	15
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000624673362389527	1e-05	0.0202212579170047	0.0977370051032476	0.0401898965073367	0.132258716013939	16
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000665699793108908	1e-05	0.0204215422541912	0.100556961989949	0.0383530439631966	0.131398288016576	17
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000709496031963213	1e-05	0.0206203425985354	0.103200008352947	0.0366818669736425	0.130521847853256	18
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000756251435200039	1e-05	0.0208167104456437	0.105677619457102	0.0351609617700186	0.129637591532459	19
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000806168385800095	1e-05	0.0210098570234144	0.108000490704624	0.0337763897566316	0.128752469306364	20
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000859463191697134	1e-05	0.0211991334810469	0.110178593874014	0.0325155358531305	0.127872337784646	21
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000916367046015340	1e-05	0.0213840132861536	0.112221229021477	0.0313669806886164	0.127002095057375	22
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.000977127053606194	1e-05	0.0215640765957373	0.114137072402457	0.0303203852826016	0.126145800641104	23
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.00104200732846282	1e-05	0.0217389963910131	0.115934220739692	0.0293663869831152	0.125306781873378	24
